name,category,region,description,best_time,distance_from_colombo_km,budget_level,attractions,travel_tips,highlights
Mirissa,Beach,Southern,A crescent-shaped beach famous for whale watching and a laid-back vibe. One of Sri Lanka's most photogenic coastal spots with turquoise waters and swaying palms.,November to April,150,Budget to Mid-range,"Whale watching tours, Parrot Rock, Secret Beach, Mirissa Beach, Coconut Tree Hill","Book whale watching at dawn for best sightings. Avoid blue whale season rush by going mid-week. Many guesthouses offer great sea views.","Blue whale sightings, stunning sunsets, fresh seafood"
Unawatuna,Beach,Southern,A sheltered bay near Galle with calm waters perfect for swimming and snorkeling. Surrounded by coral reefs and a vibrant cafe culture.,November to April,130,Budget to Mid-range,"Jungle Beach, Rumassala Hill, Japanese Peace Pagoda, Snorkeling spots","Great base for day trips to Galle Fort. The bay is naturally protected so waters are calm year-round.","Calm snorkeling bay, Galle day trips, lively nightlife"
Arugam Bay,Beach,Eastern,A legendary surf destination on the east coast with consistent waves and a bohemian atmosphere. Famous among surfers worldwide.,May to September,315,Budget,"Main Point surf break, Pottuvil Point, Crocodile Rock, Whisky Point","East coast season is opposite to west so great for May-September. Rent a scooter to explore nearby lagoons.","World-class surfing, leopard safaris nearby, stunning lagoons"
Tangalle,Beach,Southern,A serene and unspoiled stretch of southern coastline known for its wide beaches and turtle nesting sites. Less touristy and more tranquil.,November to April,195,Budget to Mid-range,"Rekawa Beach turtle nesting, Hummanaya Blowhole, Mulkirigala Rock Temple","Watch sea turtles nesting at Rekawa Beach at night with a ranger. Very peaceful and uncrowded.","Sea turtle nesting, blowholes, peaceful atmosphere"
Nilaveli,Beach,Northern,A pristine white sand beach in the north with crystal clear water and access to Pigeon Island Marine Park. Remote and stunningly beautiful.,April to September,280,Budget to Mid-range,"Pigeon Island Marine Park, snorkeling, Trincomalee temples","Combine with Trincomalee hot springs and temples. Pigeon Island has some of Sri Lanka's best snorkeling.","Pigeon Island snorkeling, untouched white sands, remote feel"
Bentota,Beach,Western,A popular beach resort town combining lagoon water sports with golden beaches. Great for watersports and Ayurveda retreats.,November to April,65,Mid-range to Luxury,"Bentota Lagoon, watersports, Brief Garden, Kosgoda Turtle Hatchery","Take a boat safari on the Bentota lagoon. Visit the turtle hatchery at Kosgoda just 10km away.","Water sports, lagoon safaris, Ayurveda spas"
Hikkaduwa,Beach,Southern,A classic beach town with a long coral reef and a lively atmosphere. Popular for surfing and glass-bottom boat rides.,November to April,100,Budget,"Hikkaduwa Coral Reef, Sea Turtle spotting, Blow Hole, Hikkaduwa Lake","Rent a bicycle to explore the coast. The coral reef is walkable at low tide in some sections.","Coral reef snorkeling, surfing, vibrant nightlife"
Pasikuda,Beach,Eastern,A uniquely shallow lagoon-style beach that extends almost a kilometer with knee-deep calm water. Ideal for families.,April to September,290,Mid-range to Luxury,"Shallow lagoon beach, Kalkudah beach, watersports","The shallow water makes it perfect for families with children. Book well ahead as it is a popular spot.","Shallow calm waters, family-friendly, pristine sands"
Kandy,Culture,Central,The cultural capital of Sri Lanka and home to the sacred Temple of the Tooth Relic. Set around a beautiful lake surrounded by forested hills.,January to April,116,Budget to Mid-range,"Temple of the Tooth, Kandy Lake, Royal Botanical Gardens Peradeniya, Kandyan Cultural Show, Udawatte Kele Sanctuary","Don't miss the evening Kandyan dance performance. Visit the Peradeniya Botanical Gardens early morning.","Sacred Temple of the Tooth, Kandyan dance, lush botanical gardens"
Anuradhapura,Heritage,North Central,The ancient first capital of Sri Lanka with ruins spanning over 2000 years. A UNESCO World Heritage Site with sacred Buddhist monuments.,May to September,200,Budget,"Sacred Bo Tree, Ruwanwelisaya Dagoba, Jetavanarama Stupa, Abhayagiri Monastery, Isurumuniya Temple","Rent a bicycle to cover the vast archaeological site. Dress modestly as this is an active religious site.","Ancient dagobas, sacred Bo tree over 2200 years old, UNESCO site"
